ID,Espèce,Chemin d'accès
20140503-1620512,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\20140503-1620512.jpg
20140503-1626422,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\20140503-1626422.jpg
Beaver-Track,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Track.jpg
Beaver-Tracks-(1),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-(1).jpg
Beaver-Tracks-(5),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-(5).jpg
Beaver-Tracks-(7),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-(7).jpg
Beaver-Tracks-(8),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-(8).jpg
Beaver-tracks-1,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-tracks-1.jpeg
Beaver-tracks-1536x832,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-tracks-1536x832.jpg
Beaver-Tracks-3 (1),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-3 (1).jpg
Beaver-Tracks-3,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-3.jpg
Beaver-Tracks-4(2),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-4(2).jpg
Beaver-Tracks-8 (1),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-Tracks-8 (1).jpg
Beaver-tracks-with-measure,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\Beaver-tracks-with-measure.jpeg
bwi-bs272065,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\bwi-bs272065.jpg
beaver-footprint-mud-eurasian-european-260nw-1412938724,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\beaver-footprint-mud-eurasian-european-260nw-1412938724.webp
castor-europeen-castor-fiber-des-empreintes-de-pas-dans-le-sable-basse-saxe-allemagne-rwgb06,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\castor-europeen-castor-fiber-des-empreintes-de-pas-dans-le-sable-basse-saxe-allemagne-rwgb06.jpg
cnyy96,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\cnyy96.jpg
cnyy97,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\cnyy97.jpg
coulee-castor20150418-1542442,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\coulee-castor20150418-1542442.jpg
ebw734,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\ebw734.jpg
ob_bb095c_sentier-petit-castor-traces-5,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\ob_bb095c_sentier-petit-castor-traces-5.jpg
original (1),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original (1).jpg
original (1),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original (1).png
original (2),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original (2).jpg
original (2),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original (2).png
original (3),Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original (3).png
original 3,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original 3.png
original 4,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original 4.png
original 6,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original 6.png
original 7,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original 7.jpg
original,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original.png
original5,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\original5.jpg
rbjymj,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\rbjymj.jpg
rbjymp,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\rbjymp.jpg
rbjyn0,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\rbjyn0.jpg
rbjyn4,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\rbjyn4.jpg
traces-castor,Castor,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Castor\traces-castor.webp
