ID,Espèce,Chemin d'accès
13678778-en-haut-d-une-empreinte-de-patte-de-chat-sur-un-chemin-en-beton-photo,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\13678778-en-haut-d-une-empreinte-de-patte-de-chat-sur-un-chemin-en-beton-photo.JPG4.jpg
34f64f680a693f9a9962305ad9fc144d,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\34f64f680a693f9a9962305ad9fc144d.jpg
3641155ef922d8166c37ffa179433cee,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\3641155ef922d8166c37ffa179433cee.jpg
36cd4d6e57641b786bd90cedd76be55c,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\36cd4d6e57641b786bd90cedd76be55c.jpg
5f45f9751abbe28043152820fdaa89eb,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\5f45f9751abbe28043152820fdaa89eb.jpg
69e3d906758229a6a3066b4242d6b279,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\69e3d906758229a6a3066b4242d6b279.jpg
81ca84429c201b0217ea8d503b3aaa1b,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\81ca84429c201b0217ea8d503b3aaa1b.jpg
82ceec27eec6baf1a06d269caec4cc9f,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\82ceec27eec6baf1a06d269caec4cc9f.jpg
8c6b3ae3931a814636283a0da2c135f7,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\8c6b3ae3931a814636283a0da2c135f7.jpg
90c57de367e0d3b1e84197bb6a146ce3,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\90c57de367e0d3b1e84197bb6a146ce3.jpg
9462ae6902f2fc4b2c9262bfe365ae12,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\9462ae6902f2fc4b2c9262bfe365ae12.jpg
9f752697e3fec48a8365a341c86e93b6,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\9f752697e3fec48a8365a341c86e93b6.jpg
animal-track-76567_1280,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\animal-track-76567_1280.jpg
Bobcat-Sit-Down-Print,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Bobcat-Sit-Down-Print.jpg
Bobcat-tracks31-300x255,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Bobcat-tracks31-300x255.jpg
cab06a665f6962491bb83ddc490ed93b,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cab06a665f6962491bb83ddc490ed93b.jpg
cat-footprints-on-cement-concrete-with-blue-background-photo,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cat-footprints-on-cement-concrete-with-blue-background-photo.jpeg
cat-paw-prints-on-wet-260nw-1885018834,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cat-paw-prints-on-wet-260nw-1885018834.webp
cat-prints-1913437_1280,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cat-prints-1913437_1280.jpg
cattracksofboots112507,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cattracksofboots112507.jpg
cb0c5c0bc339fab3b18ba0ea6c32677e,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\cb0c5c0bc339fab3b18ba0ea6c32677e.jpg
domcatpen,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\domcatpen.jpg
doriana-popa-oMjgEtNy8Nk-unsplash,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\doriana-popa-oMjgEtNy8Nk-unsplash.jpg
el-khalil-el-arfaoui-ZhSXK3L1F7I-unsplash,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\el-khalil-el-arfaoui-ZhSXK3L1F7I-unsplash.jpg
g4amh4,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\g4amh4.jpg
Housecat-Tracks-(1),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Housecat-Tracks-(1).jpg
Housecat-Tracks-2 (1),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Housecat-Tracks-2 (1).jpg
Housecat-Tracks-2,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Housecat-Tracks-2.jpg
Human-Bobcat-Coyote1-300x127,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\Human-Bobcat-Coyote1-300x127.jpg
IM001940,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\IM001940.jpg
IM002174,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\IM002174.jpg
images,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\images.jpeg
large (1),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\large (1).jpg
large,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\large.jpeg
large,Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\large.jpg
original (1),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\original (1).jpeg
original (1),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\original (1).jpg
original (2),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\original (2).jpeg
original (2),Chat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chat\original (2).jpg
