ID,Espèce,Chemin d'accès
03b8b7679929f02900fd6859e859407d,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\03b8b7679929f02900fd6859e859407d.jpg
1041a70fb630e8049300f3d555b578fb,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\1041a70fb630e8049300f3d555b578fb.jpg
11820731-empreintes-de-chiens-se-bouchent-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\11820731-empreintes-de-chiens-se-bouchent-photo4.jpg
14516496-traces-de-chiens-dans-la-neige-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\14516496-traces-de-chiens-dans-la-neige-photo4.jpg
15653071-voyage-a-l-ile-de-phuket-thailande-les-empreintes-de-chien-sur-la-plage-de-sable-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\15653071-voyage-a-l-ile-de-phuket-thailande-les-empreintes-de-chien-sur-la-plage-de-sable-photo4.jpg
17364600-empreinte-de-patte-chien-cocker-spaniel-sur-le-sable-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\17364600-empreinte-de-patte-chien-cocker-spaniel-sur-le-sable-photo4.jpg
17364611-empreinte-de-patte-chien-cocker-spaniel-sur-le-sable-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\17364611-empreinte-de-patte-chien-cocker-spaniel-sur-le-sable-photo4.jpg
17399661-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\17399661-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo.JPG4.jpg
17521599-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\17521599-fond-d-empreintes-de-chien-sur-le-sol-en-ciment-gratuit-photo.JPG4.jpg
20824483-chien-empreinte-dans-le-boue-photo,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\20824483-chien-empreinte-dans-le-boue-photo.jpg
23619535-chien-patte-empreinte-sur-frais-ciment-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\23619535-chien-patte-empreinte-sur-frais-ciment-photo4.jpg
24147060-chien-empreinte-dans-le-sable-a-plage-gratuit-photo4,Chien,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Chien\24147060-chien-empreinte-dans-le-sable-a-plage-gratuit-photo4.jpg
