ID,Espèce,Chemin d'accès
11947904-empreinte-de-patte-de-loup-sur-la-boue-photo,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\11947904-empreinte-de-patte-de-loup-sur-la-boue-photo.jpg
12009468-empreinte-de-patte-de-loup-sur-la-boue-photo3,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\12009468-empreinte-de-patte-de-loup-sur-la-boue-photo3.jpg
12024540-empreinte-de-patte-de-loup-sur-la-boue-photo2,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\12024540-empreinte-de-patte-de-loup-sur-la-boue-photo2.jpg
2br7w26,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\2br7w26.jpg
2ge4kj6,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\2ge4kj6.jpg
2kdp5ap,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\2kdp5ap.jpg
2mj2hr1,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\2mj2hr1.jpg
330px-Coyote_tracks_in_mud,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\330px-Coyote_tracks_in_mud.JPG.jpg
bham19,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\bham19.jpg
Coyote-and-Bobcat-Tracks,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\Coyote-and-Bobcat-Tracks.jpg
Coyote-Front-Track,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\Coyote-Front-Track.jpg
Coyote-Hind-Track,Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\Coyote-Hind-Track.jpg
Coyote-Tracks-(10),Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\Coyote-Tracks-(10).jpg
Coyote-Tracks-(11),Coyote,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Coyote\Coyote-Tracks-(11).jpg
