ID,Espèce,Chemin d'accès
-of-four-paws-of-eurasian-red-squirrel-sciurus-vulgaris-on-ground-2391891405,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\-of-four-paws-of-eurasian-red-squirrel-sciurus-vulgaris-on-ground-2391891405.jpg
1000_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\1000_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ.jpg
1000_F_251135547_C9AdS3xaWsmrH9Gc9NCAeKIz5LfYPyVS,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\1000_F_251135547_C9AdS3xaWsmrH9Gc9NCAeKIz5LfYPyVS.jpg
1000_F_338314475_rX2tbNhfr8HSpwHY7rhwqqi0zmJy2dIj,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\1000_F_338314475_rX2tbNhfr8HSpwHY7rhwqqi0zmJy2dIj.jpg
240_F_389011975_YbXSg5HXTt1DhU5FF95TvYG6RIVSUGqs,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\240_F_389011975_YbXSg5HXTt1DhU5FF95TvYG6RIVSUGqs.jpg
240_F_410081871_Qkw4WAOzeCnXmo7DsfuOeoA6GeTWlZW1,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\240_F_410081871_Qkw4WAOzeCnXmo7DsfuOeoA6GeTWlZW1.jpg
2aea2wd,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2aea2wd.jpg
2apj5t5,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2apj5t5.jpg
2bd1dxw,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2bd1dxw.jpg
2be7rf5,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2be7rf5.jpg
2cbt6k2,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2cbt6k2.jpg
2eag0wa,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2eag0wa.jpg
2eag0y5,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2eag0y5.jpg
2f8b05g,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2f8b05g.jpg
2h8c050,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2h8c050.jpg
2r6a2ey,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\2r6a2ey.jpg
360_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ.webp
360_F_251135278_6rZHfk0BTbLU9QEcuf0qt12GadmArxuo,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_251135278_6rZHfk0BTbLU9QEcuf0qt12GadmArxuo.jpg
360_F_251135547_C9AdS3xaWsmrH9Gc9NCAeKIz5LfYPyVS,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_251135547_C9AdS3xaWsmrH9Gc9NCAeKIz5LfYPyVS.webp
360_F_254619733_24kiIcx6R7zzJqXhakPps4cfOWZjjkqc2,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_254619733_24kiIcx6R7zzJqXhakPps4cfOWZjjkqc2.jpg
360_F_308163459_a59ogkxEaK1s14rY1bb0v1XL88AFqmbH2,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_308163459_a59ogkxEaK1s14rY1bb0v1XL88AFqmbH2.webp
360_F_371671229_42n10S0UTOFlvLrOUteFkm8ZtbNvOG4J2,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_371671229_42n10S0UTOFlvLrOUteFkm8ZtbNvOG4J2.webp
360_F_396336706_tqIvmSWknRACSgYSSSTWBNes5puxoy6Y,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\360_F_396336706_tqIvmSWknRACSgYSSSTWBNes5puxoy6Y.webp
aa4y40,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\aa4y40.jpg
american-red-squirrel-tamiasciurus-hudsonicus-260nw-704786125,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\american-red-squirrel-tamiasciurus-hudsonicus-260nw-704786125.jpg
awapjm,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\awapjm.jpg
bxbfch,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\bxbfch.jpg
California-Ground-Squirrel-Tracks-(2),Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\California-Ground-Squirrel-Tracks-(2).jpg
California-Ground-Squirrel-Tracks-5,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\California-Ground-Squirrel-Tracks-5.jpg
California-Ground-Squirrel-Tracks-6,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\California-Ground-Squirrel-Tracks-6.jpg
closeup-traces-red-squirrel-sciurus-260nw-1491490754,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\closeup-traces-red-squirrel-sciurus-260nw-1491490754.jpg
d93wwy,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\d93wwy.jpg
ebtfm3,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\ebtfm3.jpg
eurasian-red-squirrel-sciurus-vulgaris-footprints-of-four-paws-in-1905614818,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\eurasian-red-squirrel-sciurus-vulgaris-footprints-of-four-paws-in-1905614818.jpg
footprints-squirrel-on-snow-600w-112126985,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\footprints-squirrel-on-snow-600w-112126985.jpg
footprints-squirrel-on-white-snow-260nw-589730984,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\footprints-squirrel-on-white-snow-260nw-589730984.jpg
gdb07p,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\gdb07p.jpg
gdb07r,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\gdb07r.jpg
hr51gm,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\hr51gm.jpg
jfcnmp,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\jfcnmp.jpg
jt1h96,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\jt1h96.jpg
L1080899-Grey-Squirrel-Footprints_655,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\L1080899-Grey-Squirrel-Footprints_655.jpg
original_1,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_1.jpeg
original_10,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_10.jpg
original_11,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_11.jpg
original_12,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_12.jpg
original_13,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_13.jpg
original_14,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_14.jpeg
original_15,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_15.jpg
original_2,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_2.jpg
original_3,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_3.jpeg
original_4,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_4.jpg
original_5,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_5.jpeg
original_6,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_6.jpg
original_7,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_7.jpeg
original_8,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_8.jpg
original_9,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\original_9.jpg
Squirrel-Details-1024x768,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\Squirrel-Details-1024x768.jpg
squirrel-footprints-on-snow-animal-260nw-1477812848,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-on-snow-animal-260nw-1477812848.jpg
squirrel-footprints-on-white-snow-260nw-2397155315,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-on-white-snow-260nw-2397155315.jpg
squirrel-footprints-on-white-snow-260nw-2397155323,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-on-white-snow-260nw-2397155323.jpg
squirrel-footprints-on-white-snow-600w-2397155303,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-on-white-snow-600w-2397155303.jpg
squirrel-footprints-snow-600w-2406102659,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-snow-600w-2406102659.jpg
squirrel-footprints-snow-latin-name-260nw-2083174057,Ecureuil,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ecureuil\squirrel-footprints-snow-latin-name-260nw-2083174057.jpg
