ID,Espèce,Chemin d'accès
-snow-dry-plants-around-bunny-s-footprints-in-white-snow-rabbit-s-2099673535,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\-snow-dry-plants-around-bunny-s-footprints-in-white-snow-rabbit-s-2099673535.jpg
-this-winter-abstract-background-featuring-rabbit-tracks-crossing-1301853814,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\-this-winter-abstract-background-featuring-rabbit-tracks-crossing-1301853814.jpg
Black-tailed-Jackrabbit-Tracks-3,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Black-tailed-Jackrabbit-Tracks-3.jpg
Black-tailed-Jackrabbit-Tracks-4,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Black-tailed-Jackrabbit-Tracks-4.jpg
Black-tailed-Jackrabbit-Tracks-5,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Black-tailed-Jackrabbit-Tracks-5.jpg
Cottontail-Tracks-(10),Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-(10).jpg
Cottontail-Tracks-(5),Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-(5).jpg
Cottontail-Tracks-(8),Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-(8).jpg
Cottontail-Tracks-2,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-2.jpg
Cottontail-Tracks-5,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-5.jpg
Cottontail-Tracks-Photo-Strip,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks-Photo-Strip.jpg
Cottontail-Tracks,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\Cottontail-Tracks.jpg
d34nf8,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\d34nf8.jpg
e-up-top-down-view-shoe-footprint-right-rabbit-print-snow-close-up-171822348,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\e-up-top-down-view-shoe-footprint-right-rabbit-print-snow-close-up-171822348.jpg
eps-animal-rabbit-white-snow-field-building-nice-path-track-winter-138383584,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\eps-animal-rabbit-white-snow-field-building-nice-path-track-winter-138383584.jpg
footprint-wild-rabbit-winter-snow-footprint-wild-rabbit-136256125,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\footprint-wild-rabbit-winter-snow-footprint-wild-rabbit-136256125.jpg
footprints-rabbit-hare-on-fresh-600w-2393623471,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\footprints-rabbit-hare-on-fresh-600w-2393623471.jpg
hunting-skis-rabbit-tracks-snow-600w-2100619618,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\hunting-skis-rabbit-tracks-snow-600w-2100619618.jpg
original (5),Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\original (5).jpeg
original,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\original.jpeg
rabbit-footprints-snow-600w-2213938689,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-footprints-snow-600w-2213938689.jpg
rabbit-footprints-snow-trailing-woods-closeup-animal-visible-flakes-123535672,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-footprints-snow-trailing-woods-closeup-animal-visible-flakes-123535672.jpg
rabbit-hare-traces-white-snow-78989605,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-hare-traces-white-snow-78989605.jpg
rabbit-hare-tracks-copy,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-hare-tracks-copy.jpg
rabbit-paw-print-fresh-snow-260nw-2254760939,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-paw-print-fresh-snow-260nw-2254760939.jpg
rabbit-paw-tracks-winter-forest-600w-2370319579,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-paw-tracks-winter-forest-600w-2370319579.jpg
rabbit-track-13441327,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-track-13441327.jpg
rabbit-track-snow-600w-1867401574,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-track-snow-600w-1867401574.jpg
rabbit-track,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-track.jpg
rabbit-tracks-20161186,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-20161186.jpg
rabbit-tracks-201611867,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-201611867.jpg
rabbit-tracks-23120577,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-23120577.jpg
rabbit-tracks-600w-8232475,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-600w-8232475.jpg
rabbit-tracks-fluffy-snow-close-up-1671963477,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-fluffy-snow-close-up-1671963477.jpg
rabbit-tracks-fresh-snow-260nw-2399893293,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-fresh-snow-260nw-2399893293.jpg
rabbit-tracks-fresh-snow-600w-1189054381,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-fresh-snow-600w-1189054381.jpg
rabbit-tracks-fresh-snow-spring-showing-track-as-has-hopped-past-pine-cone-1272315466,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-fresh-snow-spring-showing-track-as-has-hopped-past-pine-cone-1272315466.jpg
rabbit-tracks-freshly-fallen-snow-bunny-who-hopped-across-area-top-down-view-141610011,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-freshly-fallen-snow-bunny-who-hopped-across-area-top-down-view-141610011.jpg
rabbit-tracks-new-snow-600w-2400460337,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-new-snow-600w-2400460337.jpg
rabbit-tracks-snow-207333891,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-207333891.jpg
rabbit-tracks-snow-2073338912,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-2073338912.jpg
rabbit-tracks-snow-37605673,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-37605673.jpg
rabbit-tracks-snow-376056732,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-376056732.jpg
rabbit-tracks-snow-600w-2222260461,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-600w-2222260461.jpg
rabbit-tracks-snow-600w-2395363465,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-600w-2395363465.jpg
rabbit-tracks-snow-sunny-day-rabbit-tracks-snowon-sunny-day-winter-2431200834,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-sunny-day-rabbit-tracks-snowon-sunny-day-winter-2431200834.jpg
rabbit-tracks-snow-winter-600w-175333709,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snow-winter-600w-175333709.jpg
rabbit-tracks-snowing-oklahoma-ground-600w-2416203189,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-tracks-snowing-oklahoma-ground-600w-2416203189.jpg
rabbit-trail-newly-fallen-snow-12307020,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbit-trail-newly-fallen-snow-12307020.jpg
rabbits-footprints-powder-snow-dry-260nw-2099673535,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\rabbits-footprints-powder-snow-dry-260nw-2099673535.jpg
refjxx,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\refjxx.jpg
snow-track-rabbit-600w-765819829,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\snow-track-rabbit-600w-765819829.jpg
stock-photo-a-rabbit-track-in-snow-1867401574,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-a-rabbit-track-in-snow-1867401574.jpg
stock-photo-footprints-of-a-rabbit-in-the-pure-snow-hare-tracks-in-fluffy-snowdrifts-1853205619,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-footprints-of-a-rabbit-in-the-pure-snow-hare-tracks-in-fluffy-snowdrifts-1853205619.jpg
stock-photo-hunting-skis-and-rabbit-tracks-in-the-snow-2100619618,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-hunting-skis-and-rabbit-tracks-in-the-snow-2100619618.jpg
stock-photo-line-of-rabbit-tracks-in-pure-white-snow-2391248777,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-line-of-rabbit-tracks-in-pure-white-snow-2391248777.jpg
stock-photo-rabbit-paw-print-in-fresh-snow-2254760939,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-paw-print-in-fresh-snow-2254760939.jpg
stock-photo-rabbit-tracks-in-new-snow-2400460337,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-new-snow-2400460337.jpg
stock-photo-rabbit-tracks-in-snow-in-winter-175333709,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-snow-in-winter-175333709.jpg
stock-photo-rabbit-tracks-in-the-fresh-snow-1189054381,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-fresh-snow-1189054381.jpg
stock-photo-rabbit-tracks-in-the-snow-2222260461,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-snow-2222260461.jpg
stock-photo-rabbit-tracks-in-the-snow-2395363465,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-snow-2395363465.jpg
stock-photo-rabbit-tracks-in-the-snowing-oklahoma-ground-2416203189,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-the-snowing-oklahoma-ground-2416203189.jpg
trace-field-hare-winter-snow-trace-rabbit-trace-rabbit-1385865702,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\trace-field-hare-winter-snow-trace-rabbit-trace-rabbit-1385865702.jpg
tracks-rabbit-127021413,Lapin,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lapin\tracks-rabbit-127021413.jpg
