ID,Espèce,Chemin d'accès
a-tape-measure-is-used-to-measure-the-size-of-wolf-tracks-in-banff-CP99K3,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\a-tape-measure-is-used-to-measure-the-size-of-wolf-tracks-in-banff-CP99K3.jpg
close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2RYP21G,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2RYP21G.jpg
close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2T1NRAH,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\close-up-of-a-maned-wolf-tracks-in-sandy-riverbed-caraca-natural-park-minas-gerais-brazil-2T1NRAH.jpg
close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-sand-showing-HGGXKC,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-sand-showing-HGGXKC.jpg
close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-the-mud-showing-HGGXK9,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-the-mud-showing-HGGXK9.jpg
empreinte-de-loup,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\empreinte-de-loup.jpg
european-gray-wolf-canis-lupus-lupus-footprint-on-sandy-ground-germany-CNY411,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\european-gray-wolf-canis-lupus-lupus-footprint-on-sandy-ground-germany-CNY411.jpg
european-gray-wolf-canis-lupus-lupus-tracks-of-a-wolf-in-snow-germany-2HMN1AF,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\european-gray-wolf-canis-lupus-lupus-tracks-of-a-wolf-in-snow-germany-2HMN1AF.jpg
foot-print-of-a-canadian-wolf-canis-lupus-canadensis-mud-big-salmon-B6FPE9,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\foot-print-of-a-canadian-wolf-canis-lupus-canadensis-mud-big-salmon-B6FPE9.jpg
fresh-wolf-tracks-in-wet-sand-on-a-beach-of-the-brookes-peninsula-vancouver-island-british-columbia-W5N2CA,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\fresh-wolf-tracks-in-wet-sand-on-a-beach-of-the-brookes-peninsula-vancouver-island-british-columbia-W5N2CA.jpg
ge-fraC3AEche-prC3A8s-de-wiseman-alaska-le-loup-gris-ou-le-loup-gris-est-une,Loup,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Loup\ge-fraC3AEche-prC3A8s-de-wiseman-alaska-le-loup-gris-ou-le-loup-gris-est-une.jpg
