ID,Espèce,Chemin d'accès
Bobcat-Tracks-(2),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-(2).jpg
Bobcat-Tracks-(3),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-(3).jpg
Bobcat-Tracks-(4),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-(4).jpg
Bobcat-Tracks-(7),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-(7).jpg
Bobcat-Tracks-(9),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-(9).jpg
Bobcat-Tracks-1,Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-1.jpg
Bobcat-Tracks-3,Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-3.jpg
Bobcat-Tracks-4,Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-4.jpg
Bobcat-Tracks-5,Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Bobcat-Tracks-5.jpg
Lynx-Tracks-4,Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\Lynx-Tracks-4.jpg
original (10),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (10).jpeg
original (10),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (10).jpg
original (11),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (11).jpeg
original (11),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (11).jpg
original (12),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (12).jpeg
original (13),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (13).jpeg
original (14),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (14).jpeg
original (15),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (15).jpeg
original (16),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (16).jpeg
original (6),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (6).jpg
original (7),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (7).jpg
original (8),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (8).jpg
original (9),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (9).jpeg
original (9),Lynx,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Lynx\original (9).jpg
