ID,Espèce,Chemin d'accès
Black-Bear-Track,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Track.jpg
Black-Bear-Tracks-(1),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-(1).jpg
Black-Bear-Tracks-2,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-2.jpg
Black-Bear-Tracks-3,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-3.jpg
Black-Bear-Tracks-4,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-4.jpg
Black-Bear-Tracks-7,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-7.jpg
Black-Bear-Tracks-8,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks-8.jpg
Black-Bear-Tracks,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\Black-Bear-Tracks.jpg
original (1),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (1).jpeg
original (1),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (1).jpg
original (2),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (2).jpeg
original (2),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (2).jpg
original (3),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (3).jpeg
original (3),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (3).jpg
original (4),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (4).jpeg
original (4),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (4).jpg
original (5),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (5).jpg
original (6),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (6).jpg
original (7),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (7).jpg
original (8),Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original (8).jpg
original,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original.jpeg
original,Ours,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Ours\original.jpg
