ID,Espèce,Chemin d'accès
Cougar-Tracks-10,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\Cougar-Tracks-10.jpg
Cougar-Tracks-9,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\Cougar-Tracks-9.jpg
Cougar-Tracks,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\Cougar-Tracks.jpg
Mountain-Lion-Tracks-(1),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\Mountain-Lion-Tracks-(1).jpg
Mountain-Lion-Tracks,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\Mountain-Lion-Tracks.jpg
original (1),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (1).jpeg
original (1),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (1).jpg
original (10),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (10).jpg
original (11),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (11).jpg
original (12),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (12).jpg
original (13),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (13).jpg
original (2),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (2).jpg
original (3),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (3).jpg
original (4),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (4).jpg
original (5),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (5).jpeg
original (5),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (5).jpg
original (6),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (6).jpg
original (7),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (7).jpg
original (8),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (8).jpg
original (9),Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original (9).jpg
original,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original.jpeg
original,Puma,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Puma\original.jpg
