ID,Espèce,Chemin d'accès
Hispid-Cotton-Rat-Tracks-(1),Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks-(1).jpg
Hispid-Cotton-Rat-Tracks-1,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks-1.jpg
Hispid-Cotton-Rat-Tracks-4,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks-4.jpg
Hispid-Cotton-Rat-Tracks,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Hispid-Cotton-Rat-Tracks.jpg
Kangaroo-Rat-Tracks-(2),Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Kangaroo-Rat-Tracks-(2).jpg
Kangaroo-Rat-Tracks-3,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Kangaroo-Rat-Tracks-3.jpg
Muskrat-Tracks-1,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Muskrat-Tracks-1.jpg
Muskrat-Tracks-2,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Muskrat-Tracks-2.jpg
Muskrat-Tracks-8,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Muskrat-Tracks-8.jpg
Rat-Tracks-1,Rat,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Rat\Rat-Tracks-1.jpg
