ID,Espèce,Chemin d'accès
Gray-Fox-Track,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Track.jpg
Gray-Fox-Tracks-(1),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-(1).jpg
Gray-Fox-Tracks-(3),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-(3).jpg
Gray-Fox-Tracks-1,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-1.jpg
Gray-Fox-Tracks-2,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-2.jpg
Gray-Fox-Tracks-4,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-4.jpg
Gray-Fox-Tracks-5,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-5.jpg
Gray-Fox-Tracks-8,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks-8.jpg
Gray-Fox-Tracks,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Gray-Fox-Tracks.jpg
Red-Fox-Front-Track,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Front-Track.jpg
Red-Fox-Hind-Tracks,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Hind-Tracks.jpg
Red-Fox-Track-(1),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Track-(1).jpg
Red-Fox-Track,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Track.jpg
Red-Fox-Tracks-(1),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-(1).jpg
Red-Fox-Tracks-(3),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-(3).jpg
Red-Fox-Tracks-(4),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-(4).jpg
Red-Fox-Tracks-(5),Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-(5).jpg
Red-Fox-Tracks-11,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-11.jpg
Red-Fox-Tracks-2,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-2.jpg
Red-Fox-Tracks-3,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-3.jpg
Red-Fox-Tracks-6,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks-6.jpg
Red-Fox-Tracks,Renard,C:\Users\oulis\Documents\mspr-ia\projet MSPR\Mammiferes\Renard\Red-Fox-Tracks.jpg
